date,cpi_index
2016-11,91.90214807396177
2016-12,92.13313936606122
2017-01,92.36471124281667
2017-02,92.59686516349761
2017-03,92.82960259104132
2017-04,93.0629249920621
2017-05,93.29683383686049
2017-06,93.53133059943256
2017-07,93.76641675747923
2017-08,94.00209379241551
2017-09,94.23836318937987
2017-10,94.4752264372436
2017-11,94.71268502862021
2017-12,94.9507404598748
2018-01,95.18939423113349
2018-02,95.42864784629293
2018-03,95.66850281302972
2018-04,95.9089606428099
2018-05,96.15002285089854
2018-06,96.39169095636923
2018-07,96.63396648211368
2018-08,96.87685095485129
2018-09,97.12034590513883
2018-10,97.36445286738001
2018-11,97.6091733798352
2018-12,97.8545089846311
2019-01,98.10046122777047
2019-02,98.34703165914186
2019-03,98.59422183252941
2019-04,98.84203330562259
2019-05,99.09046764002605
2019-06,99.33952640126945
2019-07,99.58921115881733
2019-08,99.83952348607902
2019-09,100.09046496041847
2019-10,100.34203716316432
2019-11,100.59424167961977
2019-12,100.8470800990726
2020-01,101.10055401480517
2020-02,101.35466502410449
2020-03,101.60941472827227
2020-04,101.864804732635
2020-05,102.12083664655405
2020-06,102.3775120834359
2020-07,102.63483266074219
2020-08,102.8928
2020-09,103.02090153599998
2020-10,103.1093964904194
2020-11,103.10073530111421
2020-12,103.20672285700375
2021-01,103.27112385206652
2021-02,104.83888278326475
2021-03,104.55822909405396
2021-04,104.51818329231094
2021-05,104.68374009464597
2021-06,104.87991742358334
2021-07,105.53269002962772
2021-08,105.79430556821117
2021-09,105.14314161743883
2021-10,104.92959589681381
2021-11,105.26631497004668
2021-12,105.07515134206108
2022-01,105.276475332032
2022-02,106.33176672076075
2022-03,107.07789672784034
2022-04,107.27534836940647
2022-05,107.68074191089445
2022-06,108.41878571595173
2022-07,108.84736517588689
2022-08,108.85280754414569
2022-09,109.28615057097893
2022-10,109.44483406160799
2022-11,109.86860445909456
2022-12,109.85487088353717
2023-01,110.42095303320004
2023-02,110.91663269136606
2023-03,110.66607201811627
2023-04,110.28704072145422
2023-05,110.29531224950831
2023-06,110.59024191446349
2023-07,111.09320633469048
2023-08,112.07204857570545
2023-09,113.28231462827449
2023-10,113.37543269089895
2023-11,113.65717064113583
2023-12,113.78878564473825
2024-01,114.14312503196169
2024-02,115.32713166791822
2024-03,115.05888075965863
2024-04,115.14298880149394
2024-05,115.19699086324185
2024-06,115.3874114891388
2024-07,115.93584785594669
2024-08,115.9350363050117
2024-09,116.26545115848099
2024-10,116.65284764174105
2024-11,116.94604853604616
2024-12,117.2399863756223
2025-01,117.53466301274325
2025-02,117.83008030433841
2025-03,118.12624011200445
2025-04,118.4231443020171
2025-05,118.72079474534286
2025-06,119.01919331765077
2025-07,119.31834189932432
2025-08,119.61824237547324
2025-09,119.91889663594536
2025-10,120.22030657533855
2025-11,120.52247409301269
2025-12,120.82540109310155
2026-01,121.12908948452488
2026-02,121.4335411810004
2026-03,121.73875810105581
2026-04,122.044742168041
2026-05,122.35149531014005
