DAY,N10D,GPRD,GPRD_ACT,GPRD_THREAT,date,GPRD_MA30,GPRD_MA7,event,var_name,var_label
20161226,346,95.73894500732422,133.62196350097656,95.53192138671875,2016-12-26,98.67362976074219,129.17718505859375,,,
20161227,401,90.86843872070312,82.35340118408203,82.42903900146484,2016-12-27,98.03939056396484,125.78087615966797,,,
20161228,494,127.40645599365234,160.43910217285156,122.67020416259766,2016-12-28,98.57963562011719,116.09823608398438,,,
20161229,503,98.7843246459961,91.91490936279297,109.52301788330078,2016-12-29,97.02478790283203,112.32209014892578,,,
20161230,561,206.6664276123047,247.23635864257812,196.39955139160156,2016-12-30,99.90792846679688,115.72636413574219,,,
20161231,563,152.97825622558594,152.5073699951172,146.77639770507812,2016-12-31,100.12006378173828,123.21609497070312,,,
20170101,397,108.47199249267578,99.81978607177734,124.88934326171875,2017-01-01,101.57374572753906,125.84497833251953,,,
20170102,384,146.65013122558594,171.99850463867188,157.81011962890625,2017-01-02,105.25035095214844,133.11801147460938,,,
20170103,516,121.9743881225586,89.5992202758789,138.79283142089844,2017-01-03,108.55113983154297,137.56170654296875,,,
20170104,578,108.89063262939453,91.41512298583984,114.37386322021484,2017-01-04,109.33985900878906,134.91659545898438,,,
20170105,632,68.13825988769531,62.703250885009766,87.1678466796875,2017-01-05,109.32539367675781,130.53858947753906,,,
20170106,693,129.0610809326172,95.30653381347656,135.1416015625,2017-01-06,110.18250274658203,119.45210266113281,,,
20170107,744,71.2380142211914,35.509368896484375,103.66412353515625,2017-01-07,110.04377746582031,107.7749252319336,,,
20170108,438,37.814701080322266,30.158639907836914,37.73292922973633,2017-01-08,108.93476104736328,97.6810302734375,,,
20170109,576,161.02760314941406,217.86477661132812,114.77099609375,2017-01-09,112.2161636352539,99.73495483398438,,,
20170110,598,66.47293090820312,44.17887878417969,82.91148376464844,2017-01-10,112.85450744628906,91.8061752319336,,,
20170111,674,137.6140899658203,166.5884552001953,130.7776336669922,2017-01-11,114.2583999633789,95.9095230102539,,,
20170112,689,129.81033325195312,95.85983276367188,167.90879821777344,2017-01-12,114.01634979248047,104.71981811523438,,,
20170113,704,127.04450225830078,103.19910430908203,140.8553009033203,2017-01-13,114.55292510986328,104.4317398071289,,,
20170114,771,64.44683837890625,42.832313537597656,85.7433090209961,2017-01-14,113.07003784179688,103.4615707397461,,,
20170115,454,29.185617446899414,43.643672943115234,24.268754959106445,2017-01-15,110.4456787109375,102.22884368896484,,,
20170116,502,72.58614349365234,39.47057342529297,98.76707458496094,2017-01-16,110.96144104003906,89.59435272216797,,,
20170117,592,100.71996307373047,122.72325897216797,102.36331939697266,2017-01-17,111.59909057617188,94.48678588867188,,,
20170118,711,102.49857330322266,120.7618179321289,85.23077392578125,2017-01-18,112.15299987792969,89.47028350830078,,,
20170119,659,125.66645050048828,120.2684555053711,167.1929473876953,2017-01-19,112.52046203613281,88.8782958984375,,,
20170120,728,104.65530395507812,63.50714111328125,136.21173095703125,2017-01-20,109.5028076171875,85.67984008789062,,,
20170121,849,39.01728820800781,23.338314056396484,45.42173385620117,2017-01-21,106.62947082519531,82.04705047607422,,,
20170122,428,85.1360855102539,108.02149200439453,64.3575668334961,2017-01-22,103.37278747558594,90.03997039794922,,,
20170123,535,111.45087432861328,111.10781860351562,102.97209930419922,2017-01-23,103.73614501953125,95.59207916259766,,,
20170124,649,96.97809600830078,132.2983856201172,67.90764617919922,2017-01-24,103.96642303466797,95.05752563476562,,,
20170125,603,104.37609100341797,131.4376678466797,82.22399139404297,2017-01-25,104.25432586669922,95.32574462890625,,,
20170126,654,111.43194580078125,111.08894348144531,109.50627136230469,2017-01-26,104.93978118896484,93.29224395751953,,,
20170127,695,119.15711212158203,95.03227233886719,126.8260726928711,2017-01-27,104.66480255126953,95.36392974853516,,,
20170128,806,98.63725280761719,81.94469451904297,102.52495574951172,2017-01-28,104.65989685058594,103.88106536865234,,,
20170129,456,116.2304458618164,101.38859558105469,144.97389221191406,2017-01-29,101.6453628540039,108.3231201171875,,,
20170130,577,166.4895477294922,217.48719787597656,95.47673797607422,2017-01-30,102.09574127197266,116.18578338623047,,,
20170131,632,188.69056701660156,198.560302734375,183.05247497558594,2017-01-31,104.76969909667969,129.28756713867188,,,
20170201,660,150.57125854492188,200.1437225341797,125.20471954345703,2017-02-01,104.90039825439453,135.88687133789062,,,
20170202,698,166.10296630859375,132.4733428955078,189.4214630126953,2017-02-02,106.37135314941406,143.697021484375,,,
20170203,720,184.0315399169922,100.90579223632812,252.49618530273438,2017-02-03,108.87605285644531,152.9647979736328,,,
20170204,783,148.07135009765625,109.65728759765625,168.8584747314453,2017-02-04,111.54048919677734,160.0268096923828,,,
20170205,459,50.518463134765625,0.0,84.01536560058594,2017-02-05,108.92240142822266,150.63938903808594,,,
20170206,555,83.56026458740234,47.601749420166016,109.18753814697266,2017-02-06,109.33313751220703,138.79234313964844,,,
20170207,593,184.3418731689453,167.06768798828125,195.09133911132812,2017-02-07,114.21737670898438,138.1710968017578,,,
20170208,585,101.92516326904297,90.3212661743164,103.58818054199219,2017-02-08,112.24729919433594,131.22166442871094,,,
20170209,646,92.30064392089844,112.46466064453125,76.7508773803711,2017-02-09,113.10822296142578,120.67847442626953,,,
20170210,655,212.408935546875,221.83868408203125,185.03536987304688,2017-02-10,115.60137939453125,124.73238372802734,,,
20170211,801,128.20175170898438,156.66680908203125,103.16493225097656,2017-02-11,115.54776000976562,121.89386749267578,,,
