Date,Close,High,Low,Open,Volume
2016-11-10,21984.0,22302.0,21966.0,22302.0,0
2016-11-11,21997.0,21997.0,21964.0,21987.0,0
2016-11-14,22066.0,22335.0,22066.0,22099.0,0
2016-11-15,22067.0,22067.0,21982.0,22021.0,0
2016-11-16,22381.0,22381.0,22035.0,22035.0,0
2016-11-17,22272.0,22415.0,22017.0,22017.0,0
2016-11-18,22215.0,22293.0,22144.0,22293.0,0
2016-11-21,22191.0,22197.0,22184.0,22197.0,0
2016-11-22,22177.0,22178.0,22177.0,22178.0,0
2016-11-23,22415.0,22418.0,22182.0,22182.0,0
2016-11-24,22407.0,22437.0,22373.0,22437.0,0
2016-11-25,22355.0,22415.0,22355.0,22415.0,0
2016-11-28,22311.0,22326.0,22234.0,22281.0,0
2016-11-29,22188.0,22318.0,22188.0,22318.0,0
2016-11-30,22291.0,22291.0,22192.0,22192.0,0
2016-12-01,22223.0,22401.0,22223.0,22401.0,0
2016-12-02,22283.0,22322.0,22219.0,22219.0,0
2016-12-05,22205.0,22710.0,22205.0,22489.0,0
2016-12-06,22389.0,22728.0,22221.0,22221.0,0
2016-12-07,22261.0,22400.0,22261.0,22400.0,0
2016-12-08,22627.0,22627.0,22263.0,22263.0,0
2016-12-09,22250.0,22620.0,22228.0,22620.0,0
2016-12-12,22187.0,22620.0,22187.0,22295.0,0
2016-12-13,22239.0,22655.0,22175.0,22175.0,0
2016-12-14,22587.0,22710.0,22230.0,22230.0,0
2016-12-15,22354.0,22740.0,22328.0,22684.0,0
2016-12-16,22745.0,22745.0,22335.0,22335.0,0
2016-12-19,22438.0,22755.0,22324.0,22352.0,0
2016-12-20,22350.0,22760.0,22350.0,22431.0,0
2016-12-21,22340.0,22766.0,22333.0,22351.0,0
2016-12-22,22402.0,22759.0,22318.0,22318.0,0
2016-12-23,22378.0,22755.0,22378.0,22402.0,0
2016-12-26,22366.0,22374.0,22366.0,22374.0,0
2016-12-27,22364.0,22762.0,22364.0,22390.0,0
2016-12-28,22392.0,22770.0,22350.0,22350.0,0
2016-12-29,22318.0,22777.0,22318.0,22365.0,0
2016-12-30,22468.0,22770.0,22188.0,22188.0,0
2017-01-02,22411.0,22770.0,22395.0,22468.0,0
2017-01-03,22338.0,22745.0,22338.0,22416.0,0
2017-01-04,22222.0,22725.0,22222.0,22361.0,0
2017-01-05,22062.0,22675.0,22062.0,22116.0,0
2017-01-06,22297.0,22560.0,22095.0,22095.0,0
2017-01-09,22077.0,22580.0,22077.0,22292.0,0
2017-01-10,22237.0,22570.0,22062.0,22062.0,0
2017-01-11,22059.0,22570.0,22059.0,22236.0,0
2017-01-12,22265.0,22570.0,22061.0,22061.0,0
2017-01-13,22202.0,22570.0,22193.0,22283.0,0
2017-01-16,22174.0,22570.0,22174.0,22229.0,0
2017-01-17,22195.0,22570.0,22168.0,22168.0,0
2017-01-18,22309.0,22572.0,22198.0,22198.0,0
2017-01-19,22196.0,22564.0,22194.0,22327.0,0
2017-01-20,22084.0,22573.0,22084.0,22209.0,0
2017-01-23,22100.0,22550.0,21974.0,22021.0,0
2017-01-24,22229.0,22570.0,22116.0,22116.0,0
2017-01-25,22227.0,22590.0,22226.0,22228.0,0
2017-01-26,22327.0,22590.0,22198.0,22198.0,0
2017-01-27,22210.0,22590.0,22210.0,22320.0,0
2017-01-30,22139.0,22590.0,22139.0,22155.0,0
2017-01-31,22132.0,22590.0,22132.0,22144.0,0
2017-02-01,22298.0,22590.0,22128.0,22128.0,0
2017-02-02,22640.0,22640.0,22261.0,22261.0,0
2017-02-03,22137.0,22615.0,22137.0,22362.0,0
2017-02-06,22196.0,22580.0,22143.0,22143.0,0
2017-02-07,22210.0,22590.0,22210.0,22227.0,0
2017-02-08,22183.0,22650.0,22183.0,22222.0,0
2017-02-09,22347.0,22665.0,22200.0,22200.0,0
2017-02-10,22266.0,22640.0,22266.0,22345.0,0
2017-02-13,22398.0,22670.0,22292.0,22308.0,0
2017-02-14,22478.0,22740.0,22370.0,22385.0,0
2017-02-15,22319.0,22720.0,22319.0,22495.0,0
2017-02-16,22305.0,22760.0,22267.0,22267.0,0
2017-02-17,22483.0,22760.0,22314.0,22314.0,0
2017-02-20,22464.0,22814.0,22433.0,22477.0,0
2017-02-21,22469.0,22830.0,22469.0,22510.0,0
2017-02-22,22334.0,22830.0,22334.0,22450.0,0
2017-02-23,22830.0,22830.0,22339.0,22339.0,0
2017-02-24,22815.0,22815.0,22408.0,22408.0,0
2017-02-27,22777.0,22777.0,22406.0,22531.0,0
2017-02-28,22760.0,22760.0,22380.0,22411.0,0
