symbol,organ_name,com_type_code,icb_level,icb_code,icb_name
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,CT,3,1350,Hóa chất
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,CT,4,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,CT,1,3000,Hàng Tiêu dùng
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,CT,2,3500,Thực phẩm và đồ uống
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,CT,3,3570,Sản xuất thực phẩm
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,CT,4,3573,Nuôi trồng nông & hải sản
ABW,Công ty Cổ phần Chứng khoán An Bình,CK,1,8000,Tài chính
ABW,Công ty Cổ phần Chứng khoán An Bình,CK,2,8700,Dịch vụ tài chính
ABW,Công ty Cổ phần Chứng khoán An Bình,CK,3,8770,Dịch vụ tài chính
ABW,Công ty Cổ phần Chứng khoán An Bình,CK,4,8777,Môi giới chứng khoán
ACB,Ngân hàng Thương mại Cổ phần Á Châu,NH,1,8301,Ngân hàng
ACB,Ngân hàng Thương mại Cổ phần Á Châu,NH,2,8300,Ngân hàng
ACB,Ngân hàng Thương mại Cổ phần Á Châu,NH,3,8350,Ngân hàng
ACB,Ngân hàng Thương mại Cổ phần Á Châu,NH,4,8355,Ngân hàng
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,CT,1,2000,Công nghiệp
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,CT,2,2300,Xây dựng và Vật liệu
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,CT,3,2350,Xây dựng và Vật liệu
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,CT,4,2353,Vật liệu xây dựng & Nội thất
ACE,Công ty Cổ phần Bê tông ly tâm An Giang,CT,1,2000,Công nghiệp
ACE,Công ty Cổ phần Bê tông ly tâm An Giang,CT,2,2300,Xây dựng và Vật liệu
ACE,Công ty Cổ phần Bê tông ly tâm An Giang,CT,3,2350,Xây dựng và Vật liệu
ACE,Công ty Cổ phần Bê tông ly tâm An Giang,CT,4,2353,Vật liệu xây dựng & Nội thất
ACG,Công ty Cổ phần Gỗ An Cường,CT,1,1000,Nguyên vật liệu
ACG,Công ty Cổ phần Gỗ An Cường,CT,2,1700,Tài nguyên Cơ bản
ACG,Công ty Cổ phần Gỗ An Cường,CT,3,1730,Lâm nghiệp và Giấy
ACG,Công ty Cổ phần Gỗ An Cường,CT,4,1733,Lâm sản và Chế biến gỗ
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,CT,1,3000,Hàng Tiêu dùng
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,CT,2,3500,Thực phẩm và đồ uống
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,CT,3,3570,Sản xuất thực phẩm
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,CT,4,3573,Nuôi trồng nông & hải sản
ACM,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,CT,1,1000,Nguyên vật liệu
ACM,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,CT,2,1700,Tài nguyên Cơ bản
ACM,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,CT,3,1770,Khai khoáng
ACM,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,CT,4,1775,Khai khoáng
ACS,Công ty Cổ phần Xây lắp Thương mại 2,CT,1,2000,Công nghiệp
ACS,Công ty Cổ phần Xây lắp Thương mại 2,CT,2,2300,Xây dựng và Vật liệu
ACS,Công ty Cổ phần Xây lắp Thương mại 2,CT,3,2350,Xây dựng và Vật liệu
