time,fnb_ratio
2016-12-08,0.3858852242447714
2016-12-09,0.0514773929883465
2016-12-12,0.1139081169751547
2016-12-13,-0.1808888862308232
2016-12-14,-0.0012731312701081
2016-12-15,0.1332110459213787
2016-12-16,-0.1158724245473846
2016-12-19,0.1926386401132569
2016-12-20,0.0004135015704006
2016-12-21,0.0651107703958325
2016-12-22,0.005879325275305
2016-12-23,0.4993071798107164
2016-12-26,0.128639838023917
2016-12-27,-0.0778610817819647
2016-12-28,0.300383386660245
2016-12-29,-0.1062519831061412
2016-12-30,0.181578581896035
2017-01-03,-0.1225210175207536
2017-01-04,0.1839059749864036
2017-01-05,0.293484001203579
2017-01-06,0.1811593241826679
2017-01-09,0.1246878030206209
2017-01-10,0.088364285519336
2017-01-11,-0.146516887483227
2017-01-12,0.0056554063116664
2017-01-13,0.0577669974274373
2017-01-16,0.3614231661886428
2017-01-17,0.218659698369918
2017-01-18,-0.2029012512805145
2017-01-19,0.2141279875417237
2017-01-20,0.0717332654846069
2017-01-23,0.0126385872462778
2017-01-24,0.2694670560574836
2017-01-25,0.3522770491309195
2017-02-02,0.0405597664547942
2017-02-03,0.0971067020384471
2017-02-06,-0.0893337541585714
2017-02-07,-0.1097599198188031
2017-02-08,0.2893908789237315
2017-02-09,0.3953970585330586
2017-02-10,0.1068724362568717
2017-02-13,0.3189717109810854
2017-02-14,0.187451613707135
2017-02-15,-0.0171681690945168
2017-02-16,0.1807420033624314
2017-02-17,0.4125567928328796
2017-02-20,0.0941542692606823
2017-02-21,0.4105056390151307
2017-02-22,-0.4302230909440606
2017-02-23,0.2541513224906382
2017-02-24,0.1031253908829213
2017-02-27,0.0217644316052908
2017-02-28,0.09567736108032
2017-03-01,-0.3245151820125338
2017-03-02,0.0246565164278694
2017-03-03,0.1355294963374237
2017-03-06,0.3551306556381657
2017-03-07,-0.0487234949021169
2017-03-08,-0.1114504980552517
2017-03-09,-0.0548413386117289
2017-03-10,0.2238017791647572
2017-03-13,0.1016376213140342
2017-03-14,-0.0749384688097752
2017-03-15,0.1287587747940356
2017-03-16,0.0405835110785881
2017-03-17,0.2099361945295275
2017-03-20,-0.1291822334672314
2017-03-21,-0.05929532995456
2017-03-22,-0.0771827466734359
2017-03-23,-0.296463697495699
2017-03-24,0.0504679338987782
2017-03-27,0.0384692474000816
2017-03-28,-0.0176895339683926
2017-03-29,-0.0705792807965166
2017-03-30,-0.3116593428414057
2017-03-31,-0.1176058409078389
2017-04-03,-0.1068740686093785
2017-04-04,-0.2035984218573244
2017-04-05,-0.0801639808624654
2017-04-07,0.3199675089226443
2017-04-10,-0.0269426688427032
2017-04-11,-0.0148679883496749
2017-04-12,-0.0857133381541686
2017-04-13,-0.45894580034806
2017-04-14,-0.0847781962261173
2017-04-17,-0.071624945148787
2017-04-18,0.4048748285150247
2017-04-19,-0.1302508765976323
2017-04-20,-0.0353723379608052
2017-04-21,-0.1064209798798862
2017-04-24,-0.3369005314015025
2017-04-25,0.1218279581665646
2017-04-26,0.0401969061888313
2017-04-27,0.0446860151124201
2017-04-28,-0.2986024171322031
2017-05-03,-0.0081755519718246
2017-05-04,0.3098782340761697
2017-05-05,-0.3288436308881759
2017-05-08,-0.2463741373798145
2017-05-09,-0.1154146526317419
2017-05-10,-0.238120021335658
2017-05-11,-0.4494848614038408
