time,close,high,low,open,volume,close_vix,high_vix,low_vix,open_vix
2016-12-08,12.640000343322754,13.399999618530272,11.300000190734863,12.100000381469728,0.0,0.0337924402850875,0.0905454201042916,-0.0026513257086297,0.0430628136119804
2016-12-09,11.75,12.720000267028809,11.670000076293944,12.59000015258789,0.0,-0.0730131752901533,-0.0520790995841684,0.0322187102385913,0.0396973760469059
2016-12-12,12.640000343322754,12.779999732971191,12.06999969482422,12.229999542236328,0.0,0.0730131752901533,0.0047058491503087,0.0337015569895362,-0.0290109479065169
2016-12-13,12.720000267028809,13.420000076293944,12.34000015258789,12.460000038146973,0.0,0.0063091630244853,0.0488647091735128,0.0221230210169351,0.018631604151354
2016-12-14,13.1899995803833,13.390000343322754,12.479999542236328,12.880000114440918,0.0,0.0362833560111711,-0.002237951885312,0.0112812954189506,0.0331522131405101
2016-12-15,12.789999961853027,13.239999771118164,12.460000038146973,13.06999969482422,0.0,-0.0307953223077889,-0.011265652121602,-0.0016038098406376,0.0146437747254255
2016-12-16,12.199999809265137,12.949999809265137,12.149999618530272,12.880000114440918,0.0,-0.0472276765029834,-0.0221467598047285,-0.0251943780309903,-0.0146437747254255
2016-12-19,11.710000038146973,12.520000457763672,11.670000076293944,12.5,0.0,-0.0409927552379388,-0.0337683711824403,-0.0403076855537938,-0.0299470852531164
2016-12-20,11.449999809265137,11.75,11.380000114440918,11.649999618530272,0.0,-0.0224534675250847,-0.0634741616443774,-0.0251640140815731,-0.0704224970407291
2016-12-21,11.270000457763672,11.489999771118164,10.93000030517578,11.4399995803833,0.0,-0.0158453446726031,-0.0223761686495939,-0.0403461086451263,-0.0181901979956565
2016-12-22,11.43000030517578,11.670000076293944,11.140000343322754,11.31999969482422,0.0,0.0140971358366834,0.0155443808955037,0.0190309352086779,-0.0105449034558244
2016-12-23,11.4399995803833,11.8100004196167,11.350000381469728,11.380000114440918,0.0,0.0008744447656075,0.0119252129038192,0.0186755122190226,0.0052863929384592
2016-12-26,11.4399995803833,11.8100004196167,11.350000381469728,11.380000114440918,0.0,0.0008744447656075,0.0119252129038192,0.0186755122190226,0.0052863929384592
2016-12-27,11.989999771118164,12.329999923706056,11.84000015258789,12.260000228881836,0.0,0.0469570006781587,0.0430886452486882,0.0422658648062714,0.0744845104225521
2016-12-28,12.949999809265137,13.039999961853027,11.850000381469728,11.890000343322754,0.0,0.0770228234669573,0.0559862425845404,0.0008442574293275,-0.0306442095994504
2016-12-29,13.369999885559082,13.710000038146973,12.949999809265137,13.149999618530272,0.0,0.0319176091373359,0.050103942783517,0.0887678736443079,0.100723990037062
2016-12-30,14.039999961853027,14.68000030517578,13.050000190734863,13.199999809265137,0.0,0.0488970133263226,0.0683605476182674,0.0076923749674148,0.0037950855280459
2017-01-03,12.850000381469728,14.06999969482422,12.850000381469728,14.06999969482422,0.0,-0.0885665548530556,-0.0424411945384335,-0.015444307356812,0.0638280342937623
2017-01-04,11.850000381469728,12.800000190734863,11.630000114440918,12.779999732971191,0.0,-0.0810159412549106,-0.094599663609744,-0.0997558646568678,-0.096163421381361
2017-01-05,11.670000076293944,12.09000015258789,11.399999618530272,11.960000038146973,0.0,-0.0153064469366003,-0.0570665085790312,-0.0199746544325284,-0.0663136763430837
2017-01-06,11.31999969482422,11.739999771118164,10.979999542236328,11.699999809265137,0.0,-0.0304504070200321,-0.0293768823436484,-0.0375379275474891,-0.0219789262104466
2017-01-09,11.5600004196167,12.079999923706056,11.460000038146973,11.710000038146973,0.0,0.0209798537272078,0.0285493912868922,0.0427873202245965,0.0008543553656813
2017-01-10,11.489999771118164,11.789999961853027,11.3100004196167,11.59000015258789,0.0,-0.0060738276026792,-0.0242994748772018,-0.0131753873858831,-0.0103005103501283
2017-01-11,11.260000228881836,12.229999542236328,11.210000038146973,11.5600004196167,0.0,-0.0202204289020462,0.0366402009557645,-0.0088810867424066,-0.0025917709738851
2017-01-12,11.539999961853027,12.600000381469728,11.31999969482422,11.479999542236328,0.0,0.0245626147357955,0.0298049319632992,0.0097648053290355,-0.0069445485267179
2017-01-13,11.229999542236328,11.619999885559082,10.9399995803833,11.449999809265137,0.0,-0.0272305297865432,-0.080969102657658,-0.0341452871783992,-0.0026166376743534
2017-01-16,11.229999542236328,11.619999885559082,10.9399995803833,11.449999809265137,0.0,-0.0272305297865432,-0.080969102657658,-0.0341452871783992,-0.0026166376743534
2017-01-17,11.869999885559082,12.75,11.789999961853027,12.199999809265137,0.0,0.0554254709926072,0.0928035300292861,0.0748259526760971,0.0634462227630236
2017-01-18,12.479999542236328,12.8100004196167,11.6899995803833,11.789999961853027,0.0,0.0501131272811123,0.0046948770611705,-0.0085179717251217,-0.0341842247914623
2017-01-19,12.779999732971191,13.279999732971191,12.170000076293944,12.579999923706056,0.0,0.023754101793616,0.036032975275091,0.0402401736798317,0.0648565338938497
2017-01-20,11.539999961853027,12.59000015258789,11.529999732971191,12.579999923706056,0.0,-0.1020621702807922,-0.0533562637646719,-0.0540216021469663,0.0
2017-01-23,11.770000457763672,12.619999885559082,11.59000015258789,12.300000190734863,0.0,0.0197347023902718,0.0023799878688237,0.0051903593956511,-0.0225089673223218
2017-01-24,11.06999969482422,11.890000343322754,11.039999961853027,11.81999969482422,0.0,-0.0613152410118711,-0.0595851084672422,-0.0486176331235308,-0.0398062917259132
2017-01-25,10.8100004196167,11.050000190734863,10.510000228881836,10.789999961853027,0.0,-0.0237670486841518,-0.073267294352771,-0.0491978307272184,-0.0911732104247152
2017-02-02,11.93000030517578,12.470000267028809,11.619999885559082,12.369999885559082,0.0,0.0101095959504623,0.0342611053403592,0.1531471308181719,0.0480224658391642
2017-02-03,10.970000267028809,11.84000015258789,10.720000267028809,11.84000015258789,0.0,-0.0838919630614878,-0.0518421387622921,-0.0806165610230896,-0.0437905348095573
2017-02-06,11.369999885559082,11.84000015258789,11.09000015258789,11.369999885559082,0.0,0.035813999068409,0.0,0.0339326345692685,-0.0405053446460699
2017-02-07,11.289999961853027,11.670000076293944,11.0600004196167,11.390000343322754,0.0,-0.0070609229145381,-0.0144621895072727,-0.0027087810871128,0.0017575099042816
2017-02-08,11.449999809265137,11.81999969482422,11.149999618530272,11.1899995803833,0.0,0.0140723385594397,0.0127715333232804,0.0081044296593803,-0.0177153227769871
2017-02-09,10.880000114440918,11.529999732971191,10.739999771118164,11.4399995803833,0.0,-0.0510634613959186,-0.0248406750378709,-0.0374643959240349,0.0220954644472948
2017-02-10,10.850000381469728,10.949999809265137,10.550000190734863,10.850000381469728,0.0,-0.0027611368012949,-0.0516128722776863,-0.0178491897683511,-0.0529508341269015
2017-02-13,11.06999969482422,11.399999618530272,11.06999969482422,11.359999656677246,0.0,0.0200736040077558,0.0402738830943916,0.0481128411515147,0.0459332679259632
2017-02-14,10.739999771118164,11.34000015258789,10.729999542236328,11.170000076293944,0.0,-0.0302636513831635,-0.0052770101828641,-0.0311952051721562,-0.0168667631595675
2017-02-15,11.970000267028809,12.010000228881836,10.800000190734863,10.84000015258789,0.0,0.1084284741084921,0.0574033433941688,0.0065026378102414,-0.0299886098234902
2017-02-16,11.760000228881836,12.859999656677246,11.6899995803833,12.020000457763672,0.0,-0.0176995799448308,0.0683820369630277,0.0791875877978122,0.1033289571026872
2017-02-17,11.489999771118164,12.260000228881836,11.369999885559082,11.84000015258789,0.0,-0.0232268899926479,-0.047779742935468,-0.027755441891341,-0.0150883248472106
2017-02-20,11.489999771118164,12.260000228881836,11.369999885559082,11.84000015258789,0.0,-0.0232268899926479,-0.047779742935468,-0.027755441891341,-0.0150883248472106
2017-02-21,11.56999969482422,12.09000015258789,11.5,12.050000190734863,0.0,0.006938442888539,-0.0139632719293554,0.0113687376719239,0.0175810334219328
2017-02-22,11.739999771118164,12.06999969482422,11.4399995803833,11.479999542236328,0.0,0.0145862800749396,-0.0016556674220874,-0.0052310860973346,-0.0484583247487479
2017-02-23,11.710000038146973,12.460000038146973,11.539999961853027,11.65999984741211,0.0,-0.002558614036786,0.0318005065952479,0.0087033085024535,0.0155578168193709
2017-02-24,11.470000267028809,12.59000015258789,11.34000015258789,11.8100004196167,0.0,-0.0207082264453591,0.0103793437551627,-0.0174829460189951,0.0127824979039906
2017-02-27,12.09000015258789,12.140000343322754,11.529999732971191,11.779999732971191,0.0,0.0526437228257936,-0.03639704626438,0.0166159993661587,-0.0025435101844367
2017-02-28,12.920000076293944,12.960000038146973,12.130000114440918,12.1899995803833,0.0,0.0663978270118584,0.0653618799559234,0.0507294212690074,0.0342127535146924
2017-03-01,12.539999961853027,12.579999923706056,11.779999732971191,12.3100004196167,0.0,-0.0298529720968084,-0.0297594486599748,-0.0292785768350344,0.0097960652136743
2017-03-02,11.8100004196167,12.710000038146973,11.31999969482422,12.43000030517578,0.0,-0.0599768664228544,0.0102808429951049,-0.0398321097394146,0.0097009557903434
2017-03-03,10.960000038146973,11.970000267028809,10.9399995803833,11.960000038146973,0.0,-0.0746943807394641,-0.0599855463246453,-0.0341452871783992,-0.0385451783621386
2017-03-06,11.239999771118164,11.720000267028809,11.0600004196167,11.59000015258789,0.0,0.0252265391019595,-0.0211067349451583,0.0109092753965688,-0.0314250811948936
