time,close,high,low,open,volume,gold_ret
2016-12-08,1169.800048828125,1177.800048828125,1169.0999755859375,1173.800048828125,322.0,-0.0044353118287595
2016-12-09,1159.4000244140625,1168.800048828125,1156.0,1166.5999755859375,365.0,-0.0089301847863701
2016-12-12,1163.5,1163.9000244140625,1153.0,1158.300048828125,331.0,0.0035300527792166
2016-12-13,1156.699951171875,1164.0,1155.4000244140625,1163.5,637.0,-0.0058616226542922
2016-12-14,1161.300048828125,1164.0,1142.0,1159.800048828125,487.0,0.0039690282097477
2016-12-15,1127.800048828125,1143.300048828125,1123.9000244140625,1139.800048828125,244.0,-0.0292712336296997
2016-12-16,1135.300048828125,1140.9000244140625,1126.9000244140625,1126.9000244140625,146.0,0.0066281005113914
2016-12-19,1140.5,1140.699951171875,1137.9000244140625,1139.4000244140625,249.0,0.0045697865449492
2016-12-20,1131.5,1133.5,1126.5,1133.5,46.0,-0.0079225766508506
2016-12-21,1131.0999755859375,1136.0999755859375,1130.0,1136.0999755859375,50.0,-0.0003535971206106
2016-12-22,1128.800048828125,1132.800048828125,1128.300048828125,1131.199951171875,104.0,-0.0020354241577117
2016-12-23,1131.9000244140625,1132.800048828125,1130.300048828125,1130.9000244140625,70.0,0.002742493412203
2016-12-26,1131.9000244140625,1132.800048828125,1130.300048828125,1130.9000244140625,70.0,0.002742493412203
2016-12-27,1137.300048828125,1142.199951171875,1134.300048828125,1134.300048828125,84.0,0.0047594169162982
2016-12-28,1139.4000244140625,1141.199951171875,1138.0,1141.199951171875,1570.0,0.0018447543496458
2016-12-29,1156.4000244140625,1158.800048828125,1143.5999755859375,1143.800048828125,950.0,0.0148099227809
2016-12-30,1150.0,1162.0,1150.0,1162.0,16.0,-0.005549809897021
2017-01-03,1160.4000244140625,1160.800048828125,1146.5,1155.199951171875,52.0,0.0090028519293036
2017-01-04,1163.800048828125,1165.0,1156.300048828125,1156.300048828125,36.0,0.0029257608917391
2017-01-05,1179.699951171875,1183.300048828125,1171.5,1172.0,500.0,0.0135695722791674
2017-01-06,1171.9000244140625,1176.5,1171.9000244140625,1176.5,16.0,-0.0066337433600607
2017-01-09,1183.5,1183.5999755859375,1173.0,1173.9000244140625,62.0,0.0098497658565933
2017-01-10,1184.199951171875,1188.9000244140625,1182.300048828125,1184.300048828125,8.0,0.0005912499106309
2017-01-11,1195.5999755859375,1197.0,1176.5,1187.5,20.0,0.0095807311251879
2017-01-12,1198.9000244140625,1204.300048828125,1192.300048828125,1192.699951171875,110.0,0.0027563590874691
2017-01-13,1195.300048828125,1196.0,1187.699951171875,1195.699951171875,65.0,-0.0030072493432917
2017-01-16,1195.300048828125,1196.0,1187.699951171875,1195.699951171875,65.0,-0.0030072493432917
2017-01-17,1212.0,1214.5999755859375,1200.800048828125,1205.5,79.0,0.013874646895225
2017-01-18,1211.300048828125,1214.699951171875,1203.0999755859375,1213.5999755859375,114.0,-0.0005776842959905
2017-01-19,1200.9000244140625,1204.0,1195.800048828125,1200.5,26.0,-0.0086229073368269
2017-01-20,1204.300048828125,1212.0999755859375,1202.800048828125,1202.800048828125,38.0,0.0028272298148097
2017-01-23,1215.0,1215.0,1210.0,1212.0,16.0,0.0088455509633968
2017-01-24,1210.300048828125,1219.0,1207.699951171875,1219.0,24.0,-0.0038757736862718
2017-01-25,1197.300048828125,1202.800048828125,1194.9000244140625,1202.0,403.0,-0.0107992405837165
2017-02-02,1216.699951171875,1224.199951171875,1208.9000244140625,1209.699951171875,1512.0,0.0091648876000605
