time,close,high,low,open,volume,china_ret_5d
2016-12-08,3215.365966796875,3228.1220703125,3211.470947265625,3225.550048828125,170700.0,-0.0178602426703892
2016-12-09,3232.883056640625,3244.801025390625,3207.04296875,3209.340087890625,204000.0,-0.0033844171494802
2016-12-12,3152.969970703125,3245.094970703125,3149.89599609375,3233.666015625,274700.0,-0.0162764292650327
2016-12-13,3155.037109375,3162.49609375,3118.7119140625,3138.988037109375,185200.0,-0.0140402246669475
2016-12-14,3140.531005859375,3170.02099609375,3136.347900390625,3149.376953125,201400.0,-0.0256854772154839
2016-12-15,3117.677001953125,3138.779052734375,3100.9130859375,3125.757080078125,190000.0,-0.0308530084024972
2016-12-16,3122.98193359375,3128.8740234375,3106.345947265625,3111.514892578125,165000.0,-0.0345860329789018
2016-12-19,3118.0849609375,3125.283935546875,3110.08203125,3120.696044921875,154200.0,-0.0111258376768922
2016-12-20,3102.8759765625,3117.014892578125,3084.800048828125,3115.89794921875,157400.0,-0.0166708422214529
2016-12-21,3137.429931640625,3140.2509765625,3107.239990234375,3107.239990234375,186700.0,-0.0009879241052442
2016-12-22,3139.55810546875,3143.1689453125,3126.886962890625,3132.156005859375,167800.0,0.0069938854243828
2016-12-23,3110.154052734375,3138.404052734375,3103.748046875,3134.928955078125,166200.0,-0.004116033726218
2016-12-26,3122.569091796875,3122.881103515625,3068.4150390625,3095.5791015625,152600.0,0.0014370710483843
2016-12-27,3114.6640625,3127.883056640625,3113.7451171875,3117.386962890625,141500.0,0.0037918855328366
2016-12-28,3102.236083984375,3118.781982421875,3094.549072265625,3113.76708984375,135700.0,-0.011280802782665
2016-12-29,3096.096923828125,3111.799072265625,3087.343994140625,3095.844970703125,132600.0,-0.0139397978907368
2016-12-30,3103.636962890625,3108.839111328125,3089.989013671875,3097.344970703125,133300.0,-0.0020976219563778
2017-01-03,3135.9208984375,3136.4560546875,3105.30908203125,3105.30908203125,141600.0,0.0042667886080495
2017-01-04,3158.7939453125,3160.10302734375,3130.114990234375,3133.787109375,167900.0,0.0140689905518358
2017-01-05,3165.410888671875,3168.501953125,3154.281005859375,3157.906005859375,174700.0,0.0201597009340098
2017-01-06,3154.321044921875,3172.034912109375,3153.02490234375,3163.77587890625,183700.0,0.018631011743103
2017-01-09,3171.236083984375,3173.135986328125,3147.735107421875,3148.531982421875,171700.0,0.0215468060925463
2017-01-10,3161.6708984375,3174.577880859375,3157.33203125,3167.570068359375,179800.0,0.0081777747225111
2017-01-11,3136.75390625,3167.029052734375,3136.26708984375,3156.68603515625,178400.0,-0.0070018144967145
2017-01-12,3119.2890625,3144.969970703125,3115.97900390625,3133.60205078125,148900.0,-0.0146777585420722
2017-01-13,3112.763916015625,3130.514892578125,3102.1630859375,3116.0830078125,156300.0,-0.0132622226362523
2017-01-16,3103.427978515625,3105.14208984375,3044.291015625,3104.491943359375,257900.0,-0.0216141436754624
2017-01-17,3108.77490234375,3108.906982421875,3072.337890625,3087.030029296875,136200.0,-0.0168719266725218
2017-01-18,3113.011962890625,3123.719970703125,3098.5859375,3104.76611328125,131800.0,-0.0075977430407495
2017-01-19,3101.299072265625,3115.778076171875,3094.006103515625,3104.971923828125,123900.0,-0.0057840319915852
2017-01-20,3123.138916015625,3125.659912109375,3095.215087890625,3095.819091796875,122400.0,0.0033275084145451
