time,usepuindxd,epu_log
2016-12-08,125.48,4.832146383322478
2016-12-09,97.26,4.57738780497564
2016-12-12,99.45,4.599655005299981
2016-12-13,336.71,5.819222025755692
2016-12-14,53.87,3.9865737366924425
2016-12-15,232.94,5.4507809096745055
2016-12-16,53.13,3.972741740462852
2016-12-19,91.47,4.516011049668273
2016-12-20,59.25,4.081765780015241
2016-12-21,37.37,3.6208682434973927
2016-12-22,50.35,3.9189986191645714
2016-12-23,35.7,3.5751506887855933
2016-12-26,155.98,5.049727793902352
2016-12-27,108.11,4.68314922730468
2016-12-28,161.59,5.085062262984157
2016-12-29,116.01,4.753676394287315
2016-12-30,141.16,4.949893998807069
2017-01-03,89.85,4.498141613229568
2017-01-04,101.99,4.624874769262426
2017-01-05,134.47,4.901341125835779
2017-01-06,96.97,4.574401652316455
2017-01-09,121.76,4.802051894113376
2017-01-10,121.9,4.803201036487226
2017-01-11,124.56,4.824787527525743
2017-01-12,113.32,4.730215674962316
2017-01-13,135.56,4.909414346738851
2017-01-16,114.17,4.737688565688236
2017-01-17,160.96,5.081155886911374
2017-01-18,135.59,4.909635626474218
2017-01-19,95.56,4.559754322457609
2017-01-20,141.55,4.952653011557909
2017-01-23,154.77,5.041940143924668
2017-01-24,136.15,4.913757219119769
2017-01-25,175.14,5.165585654094079
2017-02-02,113.53,4.732067119176442
2017-02-03,131.28,4.877332446781836
2017-02-06,150.83,5.016153374780161
2017-02-07,121.82,4.802544545408338
2017-02-08,118.99,4.779039455967062
2017-02-09,74.34,4.308649164869106
2017-02-10,231.24,5.443456132214275
2017-02-13,77.85,4.354783898280007
2017-02-14,120.2,4.789157022101107
2017-02-15,130.16,4.868764462910782
2017-02-16,89.07,4.489422577443778
2017-02-17,143.29,4.964870548728511
2017-02-20,66.08,4.190866129212723
2017-02-21,87.54,4.47209583176275
2017-02-22,226.71,5.423671667700738
2017-02-23,84.74,4.439587745198413
2017-02-24,99.0,4.59511985013459
2017-02-27,117.37,4.765331338112032
2017-02-28,114.25,4.738389029774314
2017-03-01,111.9,4.71760561531788
2017-03-02,125.27,4.8304714078561
2017-03-03,88.91,4.487624622133048
2017-03-06,104.29,4.6471754801331215
2017-03-07,71.17,4.26507138131118
2017-03-08,124.51,4.824386033964322
2017-03-09,95.37,4.557764063590821
2017-03-10,81.65,4.402441819416474
2017-03-13,56.5,4.034240638152395
2017-03-14,122.3,4.806477042693127
2017-03-15,159.48,5.071918522513154
2017-03-16,91.44,4.515683019486556
2017-03-17,152.01,5.023946308155928
2017-03-20,161.69,5.085680921751723
2017-03-21,184.47,5.217486848633488
2017-03-22,65.8,4.186619838331271
2017-03-23,48.67,3.885062823845363
2017-03-24,106.37,4.666923582263574
2017-03-27,83.12,4.420285346790972
2017-03-28,89.73,4.496805161309966
2017-03-29,66.64,4.199304997858588
2017-03-30,91.55,4.51688527112052
2017-03-31,221.37,5.399835509738385
2017-04-03,115.76,4.751519082323228
2017-04-04,103.95,4.643910014304022
2017-04-05,75.28,4.3212144952771245
2017-04-07,67.93,4.218477763203211
2017-04-10,118.06,4.771192969812543
2017-04-11,41.86,3.7343307170178535
2017-04-12,79.49,4.375631227585021
2017-04-13,59.73,4.089834406744215
2017-04-14,116.71,4.759692225424263
2017-04-17,119.99,4.787408405976297
