time,close,high,low,open,volume,log_return,rolling_vol_5
2016-12-08,2246.18994140625,2251.68994140625,2237.570068359375,2241.1298828125,4203270000.0,0.0021570150168711,0.0784545868890146
2016-12-09,2259.530029296875,2259.800048828125,2249.22998046875,2249.72998046875,3886460000.0,0.0059214185329697,0.0671666455563014
2016-12-12,2256.9599609375,2264.030029296875,2252.3701171875,2258.830078125,4038850000.0,-0.0011380822905995,0.0847086090206215
2016-12-13,2271.719970703125,2277.530029296875,2263.320068359375,2263.320068359375,3875630000.0,0.0065184832012369,0.0846295784892818
2016-12-14,2253.280029296875,2276.199951171875,2248.43994140625,2268.35009765625,4409670000.0,-0.0081502954618586,0.0953438869118057
2016-12-15,2262.030029296875,2272.1201171875,2253.77001953125,2253.77001953125,4173360000.0,0.0038757076875535,0.0973474607544075
2016-12-16,2258.070068359375,2268.050048828125,2254.239990234375,2266.81005859375,5928980000.0,-0.0017521567509802,0.0898771899115527
2016-12-19,2262.530029296875,2267.469970703125,2258.2099609375,2259.239990234375,3252840000.0,0.0019731727152112,0.0903897306445024
2016-12-20,2270.760009765625,2272.56005859375,2266.139892578125,2266.5,3306250000.0,0.0036309124011527,0.0799891259025012
2016-12-21,2265.179931640625,2271.22998046875,2265.14990234375,2270.5400390625,2854880000.0,-0.0024603857246776,0.0474066147746945
2016-12-22,2260.9599609375,2263.179931640625,2256.080078125,2262.929931640625,2880670000.0,-0.0018647112223965,0.0432072908486024
2016-12-23,2263.7900390625,2263.7900390625,2258.840087890625,2260.25,2021230000.0,0.0012509325350792,0.041160852342656
2016-12-26,2263.7900390625,2263.7900390625,2258.840087890625,2260.25,2021230000.0,0.0012509325350792,0.041160852342656
2016-12-27,2268.8798828125,2273.820068359375,2266.14990234375,2266.22998046875,1989730000.0,0.0022458489045486,0.0418135338471039
2016-12-28,2249.919921875,2271.31005859375,2249.110107421875,2270.22998046875,2402750000.0,-0.0083916407097715,0.0661975689149696
