cpi_index,time,cpi_yoy,cpi_mom_diff
91.90214807396175,2016-11-01,,
92.13313936606122,2016-12-01,,0.2309912920994605
92.36471124281668,2017-01-01,,0.2315718767554671
92.5968651634976,2017-02-01,,0.2321539206809149
92.82960259104132,2017-03-01,,0.232737427543725
93.0629249920621,2017-04-01,,0.2333224010207715
93.29683383686049,2017-05-01,,0.2339088447983925
93.53133059943256,2017-06-01,,0.2344967625720784
93.76641675747923,2017-07-01,,0.2350861580466698
94.00209379241552,2017-08-01,,0.2356770349362875
94.23836318937988,2017-09-01,,0.2362693969643601
94.4752264372436,2017-10-01,,0.2368632478637238
94.7126850286202,2017-11-01,0.0305818418128438,0.237458591376594
94.9507404598748,2017-12-01,0.0305818418128438,0.2380554312545939
95.18939423113348,2018-01-01,0.0305818418128436,0.2386537712586829
95.42864784629292,2018-02-01,0.0305818418128438,0.2392536151594413
95.66850281302972,2018-03-01,0.030581841812844,0.2398549667368001
95.9089606428099,2018-04-01,0.030581841812844,0.2404578297801833
96.15002285089854,2018-05-01,0.0305818418128438,0.2410622080886355
96.39169095636925,2018-06-01,0.0305818418128442,0.2416681054707083
96.63396648211368,2018-07-01,0.030581841812844,0.2422755257444322
96.87685095485128,2018-08-01,0.0305818418128438,0.2428844727376002
97.12034590513883,2018-09-01,0.0305818418128438,0.2434949502875554
97.36445286738,2018-10-01,0.0305818418128438,0.2441069622411618
97.6091733798352,2018-11-01,0.0305818418128442,0.2447205124552027
97.8545089846311,2018-12-01,0.030581841812844,0.2453356047958976
98.10046122777048,2019-01-01,0.0305818418128442,0.245952243139385
98.34703165914186,2019-02-01,0.0305818418128442,0.2465704313713814
98.5942218325294,2019-03-01,0.0305818418128438,0.247190173387537
98.8420333056226,2019-04-01,0.030581841812844,0.2478114730932077
99.09046764002603,2019-05-01,0.0305818418128438,0.2484343344034272
99.33952640126944,2019-06-01,0.0305818418128436,0.2490587612434041
99.58921115881732,2019-07-01,0.0305818418128436,0.2496847575478824
99.83952348607902,2019-08-01,0.030581841812844,0.250312327261696
100.09046496041849,2019-09-01,0.030581841812844,0.25094147433947
100.34203716316432,2019-10-01,0.030581841812844,0.2515722027458338
100.59424167961976,2019-11-01,0.0305818418128438,0.2522045164554356
100.8470800990726,2019-12-01,0.0305818418128438,0.2528384194528428
101.10055401480516,2020-01-01,0.0305818418128436,0.253473915732556
101.35466502410448,2020-02-01,0.0305818418128438,0.2541110092993222
101.60941472827228,2020-03-01,0.0305818418128442,0.254749704167807
101.864804732635,2020-04-01,0.0305818418128438,0.2553900043627095
102.12083664655404,2020-05-01,0.0305818418128438,0.2560319139190454
102.3775120834359,2020-06-01,0.030581841812844,0.2566754368818635
102.6348326607422,2020-07-01,0.030581841812844,0.2573205773063023
102.8928,2020-08-01,0.0305818418128438,0.2579673392577888
103.02090153599998,2020-09-01,0.0292778795336834,0.1281015359999884
103.1093964904194,2020-10-01,0.0275792619473642,0.0884949544194171
103.1007353011142,2020-11-01,0.0249168697893993,-0.0086611893052008
103.20672285700375,2020-12-01,0.0233982258644775,0.1059875558895555
103.27112385206652,2021-01-01,0.0214694158544721,0.064400995062769
104.83888278326476,2021-02-01,0.0343764912876152,1.5677589311982416
104.55822909405396,2021-03-01,0.029021074215096,-0.2806536892108084
104.51818329231094,2021-04-01,0.0260480405046696,-0.0400458017430196
104.68374009464596,2021-05-01,0.0250967729236519,0.1655568023350184
104.87991742358334,2021-06-01,0.0244429200243507,0.1961773289373809
105.53269002962772,2021-07-01,0.0282346382194078,0.6527726060443797
105.79430556821116,2021-08-01,0.0281993061536973,0.2616155385834418
105.14314161743884,2021-09-01,0.0206000923093965,-0.6511639507723146
104.9295958968138,2021-10-01,0.01765308951802,-0.2135457206250492
105.26631497004668,2021-11-01,0.021004502660507,0.3367190732328851
105.07515134206108,2021-12-01,0.0181037478309051,-0.1911636279856026
105.276475332032,2022-01-01,0.0194183175815738,0.2013239899709304
106.33176672076075,2022-02-01,0.0142397925069677,1.0552913887287474
107.07789672784034,2022-03-01,0.0240982240768428,0.7461300070795858
107.27534836940649,2022-04-01,0.0263797646519023,0.1974516415661469
107.68074191089444,2022-05-01,0.0286291052797584,0.4053935414879532
108.41878571595171,2022-06-01,0.0337420964785448,0.7380438050572735
108.84736517588688,2022-07-01,0.031408989435677,0.4285794599351646
108.85280754414568,2022-08-01,0.0289098922622308,0.005442368258798
109.28615057097892,2022-09-01,0.0394035111544823,0.4333430268332421
109.444834061608,2022-10-01,0.0430311212599583,0.1586834906290875
109.86860445909456,2022-11-01,0.0437204388731329,0.4237703974865496
109.85487088353716,2022-12-01,0.0454885810815175,-0.0137335755573957
110.42095303320004,2023-01-01,0.0488663558021185,0.5660821496628756
110.91663269136606,2023-02-01,0.0431184970587923,0.4956796581660256
110.66607201811628,2023-03-01,0.0335099530335003,-0.2505606732497796
110.28704072145422,2023-04-01,0.0280744122282117,-0.3790312966620632
110.29531224950831,2023-05-01,0.0242807608140127,0.0082715280540952
110.59024191446348,2023-06-01,0.0200284128269134,0.2949296649551627
111.09320633469048,2023-07-01,0.0206329400364861,0.502964420227002
112.07204857570544,2023-08-01,0.0295742581582398,0.9788422410149592
113.28231462827448,2023-09-01,0.0365660610829194,1.2102660525690396
113.37543269089896,2023-10-01,0.0359139712988039,0.0931180626244838
113.65717064113583,2023-11-01,0.0344827005011409,0.2817379502368737
113.78878564473824,2023-12-01,0.0358101077317876,0.1316150036024055
114.14312503196167,2024-01-01,0.0337089283919012,0.3543393872234333
115.32713166791822,2024-02-01,0.0397640901056266,1.1840066359565498
115.05888075965863,2024-03-01,0.0396942681838679,-0.2682509082595885
115.14298880149394,2024-04-01,0.044030087744435,0.0841080418353072
115.19699086324184,2024-05-01,0.044441404750231,0.0540020617478944
115.3874114891388,2024-06-01,0.0433778739573218,0.1904206258969623
115.93584785594668,2024-07-01,0.0435907980427423,0.5484363668078771
115.9350363050117,2024-08-01,0.0344687884124541,-0.0008115509349693
116.265451158481,2024-09-01,0.0263336474011448,0.3304148534692928
116.65284764174103,2024-10-01,0.0289076290432113,0.3873964832600336
116.94604853604616,2024-11-01,0.0289368270946557,0.2932008943051301
117.2399863756223,2024-12-01,0.0303298845429205,0.2939378395761309
117.53466301274324,2025-01-01,0.0297130289698297,0.2946766371209435
117.8300803043384,2025-02-01,0.0217030337980428,0.2954172915951574
118.12624011200444,2025-03-01,0.026659040415603,0.2961598076660436
118.4231443020171,2025-04-01,0.0284876702842771,0.2969041900126683
118.72079474534286,2025-05-01,0.0305893743898602,0.2976504433257503
119.01919331765076,2025-06-01,0.0314746797908176,0.298398572307903
119.31834189932432,2025-07-01,0.0291755665390094,0.2991485816735633
119.61824237547324,2025-08-01,0.0317695684397894,0.2999004761489203
119.91889663594536,2025-09-01,0.0314233114055899,0.3006542604721147
120.22030657533855,2025-10-01,0.030581841812844,0.3014099393931957
120.52247409301268,2025-11-01,0.0305818418128438,0.3021675176741212
120.82540109310156,2025-12-01,0.030581841812844,0.3029270000888857
121.12908948452488,2026-01-01,0.030581841812844,0.3036883914233215
121.4335411810004,2026-02-01,0.030581841812844,0.3044516964755104
121.7387581010558,2026-03-01,0.030581841812844,0.3052169200554004
122.044742168041,2026-04-01,0.030581841812844,0.3059840669852036
122.35149531014004,2026-05-01,0.0305818418128438,0.3067531420990406
