time,close,high,low,open,volume,fx_log_ret
2016-12-08,22627.0,22627.0,22263.0,22263.0,0.0,0.0163076150009987
2016-12-09,22250.0,22620.0,22228.0,22620.0,0.0,-0.0168018748569414
2016-12-12,22187.0,22620.0,22187.0,22295.0,0.0,-0.0028354768418039
2016-12-13,22239.0,22655.0,22175.0,22175.0,0.0,0.002340972572247
2016-12-14,22587.0,22710.0,22230.0,22230.0,0.0,0.0155270151934024
2016-12-15,22354.0,22740.0,22328.0,22684.0,0.0,-0.0103692435726751
2016-12-16,22745.0,22745.0,22335.0,22335.0,0.0,0.0173400650585475
2016-12-19,22438.0,22755.0,22324.0,22352.0,0.0,-0.0135893908991944
2016-12-20,22350.0,22760.0,22350.0,22431.0,0.0,-0.0039296290631951
2016-12-21,22340.0,22766.0,22333.0,22351.0,0.0,-0.0004475274185232
2016-12-22,22402.0,22759.0,22318.0,22318.0,0.0,0.0027714469484931
2016-12-23,22378.0,22755.0,22378.0,22402.0,0.0,-0.0010719072040183
2016-12-26,22366.0,22374.0,22366.0,22374.0,0.0,-0.0005363847795328
2016-12-27,22364.0,22762.0,22364.0,22390.0,0.0,-8.942544159768941e-05
2016-12-28,22392.0,22770.0,22350.0,22350.0,0.0,0.0012512290487534
2016-12-29,22318.0,22777.0,22318.0,22365.0,0.0,-0.0033102244496429
2016-12-30,22468.0,22770.0,22188.0,22188.0,0.0,0.0066985469066768
2017-01-03,22338.0,22745.0,22338.0,22416.0,0.0,-0.0032626456348163
2017-01-04,22222.0,22725.0,22222.0,22361.0,0.0,-0.0052064749568179
2017-01-05,22062.0,22675.0,22062.0,22116.0,0.0,-0.007226117614627
2017-01-06,22297.0,22560.0,22095.0,22095.0,0.0,0.0105954687210435
2017-01-09,22077.0,22580.0,22077.0,22292.0,0.0,-0.0099157976556618
2017-01-10,22237.0,22570.0,22062.0,22062.0,0.0,0.0072212255847232
2017-01-11,22059.0,22570.0,22059.0,22236.0,0.0,-0.0080368863151001
2017-01-12,22265.0,22570.0,22061.0,22061.0,0.0,0.0092952568914707
2017-01-13,22202.0,22570.0,22193.0,22283.0,0.0,-0.0028335638632103
2017-01-16,22174.0,22570.0,22174.0,22229.0,0.0,-0.0012619435602955
2017-01-17,22195.0,22570.0,22168.0,22168.0,0.0,0.0009466069358386
2017-01-18,22309.0,22572.0,22198.0,22198.0,0.0,0.005123146204514
2017-01-19,22196.0,22564.0,22194.0,22327.0,0.0,-0.0050780920268578
2017-01-20,22084.0,22573.0,22084.0,22209.0,0.0,-0.0050587280418566
2017-01-23,22100.0,22550.0,21974.0,22021.0,0.0,0.0007242441019089
2017-01-24,22229.0,22570.0,22116.0,22116.0,0.0,0.0058201341850654
2017-01-25,22227.0,22590.0,22226.0,22228.0,0.0,-8.997660614315702e-05
2017-02-02,22640.0,22640.0,22261.0,22261.0,0.0,0.0152212649896024
2017-02-03,22137.0,22615.0,22137.0,22362.0,0.0,-0.0224678365906429
2017-02-06,22196.0,22580.0,22143.0,22143.0,0.0,0.0026616757193155
2017-02-07,22210.0,22590.0,22210.0,22227.0,0.0,0.0006305454426812
2017-02-08,22183.0,22650.0,22183.0,22222.0,0.0,-0.0012164081422391
2017-02-09,22347.0,22665.0,22200.0,22200.0,0.0,0.007365854098152
2017-02-10,22266.0,22640.0,22266.0,22345.0,0.0,-0.0036312325557333
2017-02-13,22398.0,22670.0,22292.0,22308.0,0.0,0.0059108178539863
2017-02-14,22478.0,22740.0,22370.0,22385.0,0.0,0.0035653839355734
2017-02-15,22319.0,22720.0,22319.0,22495.0,0.0,-0.007098719454027
2017-02-16,22305.0,22760.0,22267.0,22267.0,0.0,-0.0006274650618201
2017-02-17,22483.0,22760.0,22314.0,22314.0,0.0,0.0079485994986372
2017-02-20,22464.0,22814.0,22433.0,22477.0,0.0,-0.0008454402354647
2017-02-21,22469.0,22830.0,22469.0,22510.0,0.0,0.000222553580693
2017-02-22,22334.0,22830.0,22334.0,22450.0,0.0,-0.0060264004004931
2017-02-23,22830.0,22830.0,22339.0,22339.0,0.0,0.0219652795181037
2017-02-24,22815.0,22815.0,22408.0,22408.0,0.0,-0.0006572461623382
2017-02-27,22777.0,22777.0,22406.0,22531.0,0.0,-0.00166695950164
2017-02-28,22760.0,22760.0,22380.0,22411.0,0.0,-0.0007466456195956
2017-03-01,22391.0,22790.0,22391.0,22461.0,0.0,-0.0163455168489286
2017-03-02,22474.0,22815.0,22405.0,22405.0,0.0,0.0036999930765091
2017-03-03,22840.0,22840.0,22454.0,22454.0,0.0,0.0161542993020987
