fdi_usd_million,time,fdi_realized_yoy
1250.0,2016-11-01,
1250.0,2016-12-01,
963.3333333333334,2017-01-01,
963.3333333333334,2017-02-01,
963.3333333333334,2017-03-01,
1120.0,2017-04-01,
1120.0,2017-05-01,
1120.0,2017-06-01,
1296.6666666666667,2017-07-01,
1296.6666666666667,2017-08-01,
1296.6666666666667,2017-09-01,
1320.0,2017-10-01,
1320.0,2017-11-01,0.056
1320.0,2017-12-01,0.056
1033.3333333333333,2018-01-01,0.0726643598615914
1033.3333333333333,2018-02-01,0.0726643598615914
1033.3333333333333,2018-03-01,0.0726643598615914
1210.0,2018-04-01,0.0803571428571428
1210.0,2018-05-01,0.0803571428571428
1210.0,2018-06-01,0.0803571428571428
1293.3333333333333,2018-07-01,-0.0025706940874037
1293.3333333333333,2018-08-01,-0.0025706940874037
1293.3333333333333,2018-09-01,-0.0025706940874037
1630.0,2018-10-01,0.2348484848484848
1630.0,2018-11-01,0.2348484848484848
1630.0,2018-12-01,0.2348484848484848
1073.3333333333333,2019-01-01,0.0387096774193549
1073.3333333333333,2019-02-01,0.0387096774193549
1073.3333333333333,2019-03-01,0.0387096774193549
1323.3333333333333,2019-04-01,0.0936639118457298
1323.3333333333333,2019-05-01,0.0936639118457298
1323.3333333333333,2019-06-01,0.0936639118457298
1360.0,2019-07-01,0.0515463917525773
1360.0,2019-08-01,0.0515463917525773
1360.0,2019-09-01,0.0515463917525773
1616.6666666666667,2019-10-01,-0.0081799591002044
1616.6666666666667,2019-11-01,-0.0081799591002044
1616.6666666666667,2019-12-01,-0.0081799591002044
1006.6666666666666,2020-01-01,-0.062111801242236
1006.6666666666666,2020-02-01,-0.062111801242236
1006.6666666666666,2020-03-01,-0.062111801242236
1246.6666666666667,2020-04-01,-0.0579345088161208
1246.6666666666667,2020-05-01,-0.0579345088161208
1246.6666666666667,2020-06-01,-0.0579345088161208
1360.0,2020-07-01,0.0
1360.0,2020-08-01,0.0
1360.0,2020-09-01,0.0
1653.3333333333333,2020-10-01,0.0226804123711339
1653.3333333333333,2020-11-01,0.0226804123711339
1653.3333333333333,2020-12-01,0.0226804123711339
1093.3333333333333,2021-01-01,0.086092715231788
1093.3333333333333,2021-02-01,0.086092715231788
1093.3333333333333,2021-03-01,0.086092715231788
1373.3333333333333,2021-04-01,0.1016042780748662
1373.3333333333333,2021-05-01,0.1016042780748662
1373.3333333333333,2021-06-01,0.1016042780748662
1373.3333333333333,2021-07-01,0.0098039215686274
1373.3333333333333,2021-08-01,0.0098039215686274
1373.3333333333333,2021-09-01,0.0098039215686274
1373.3333333333333,2021-10-01,-0.1693548387096773
1373.3333333333333,2021-11-01,-0.1693548387096773
1373.3333333333333,2021-12-01,-0.1693548387096773
1373.3333333333333,2022-01-01,0.2560975609756097
1373.3333333333333,2022-02-01,0.2560975609756097
1373.3333333333333,2022-03-01,0.2560975609756097
1373.3333333333333,2022-04-01,0.0
1373.3333333333333,2022-05-01,0.0
1373.3333333333333,2022-06-01,0.0
1373.3333333333333,2022-07-01,0.0
1373.3333333333333,2022-08-01,0.0
1373.3333333333333,2022-09-01,0.0
1373.3333333333333,2022-10-01,0.0
1373.3333333333333,2022-11-01,0.0
1373.3333333333333,2022-12-01,0.0
1373.3333333333333,2023-01-01,0.0
1373.3333333333333,2023-02-01,0.0
1373.3333333333333,2023-03-01,0.0
1373.3333333333333,2023-04-01,0.0
1373.3333333333333,2023-05-01,0.0
1373.3333333333333,2023-06-01,0.0
1373.3333333333333,2023-07-01,0.0
1373.3333333333333,2023-08-01,0.0
1373.3333333333333,2023-09-01,0.0
1373.3333333333333,2023-10-01,0.0
1373.3333333333333,2023-11-01,0.0
1373.3333333333333,2023-12-01,0.0
1373.3333333333333,2024-01-01,0.0
1373.3333333333333,2024-02-01,0.0
1373.3333333333333,2024-03-01,0.0
1373.3333333333333,2024-04-01,0.0
1373.3333333333333,2024-05-01,0.0
1373.3333333333333,2024-06-01,0.0
1373.3333333333333,2024-07-01,0.0
1373.3333333333333,2024-08-01,0.0
1373.3333333333333,2024-09-01,0.0
1373.3333333333333,2024-10-01,0.0
1373.3333333333333,2024-11-01,0.0
1373.3333333333333,2024-12-01,0.0
1373.3333333333333,2025-01-01,0.0
1373.3333333333333,2025-02-01,0.0
1373.3333333333333,2025-03-01,0.0
1373.3333333333333,2025-04-01,0.0
1373.3333333333333,2025-05-01,0.0
1373.3333333333333,2025-06-01,0.0
1373.3333333333333,2025-07-01,0.0
1373.3333333333333,2025-08-01,0.0
1373.3333333333333,2025-09-01,0.0
1373.3333333333333,2025-10-01,0.0
1373.3333333333333,2025-11-01,0.0
1373.3333333333333,2025-12-01,0.0
1373.3333333333333,2026-01-01,0.0
1373.3333333333333,2026-02-01,0.0
1373.3333333333333,2026-03-01,0.0
1373.3333333333333,2026-04-01,0.0
1373.3333333333333,2026-05-01,0.0
