time,day,n10d,gprd,gprd_act,gprd_threat,gprd_ma30,gprd_ma7,event,var_name,var_label,gpr_log
2016-12-08,20161208,659,75.39987182617188,40.08948516845703,100.3157730102539,84.77568054199219,65.2447280883789,,,,3.6911140846776456
2016-12-09,20161209,699,71.08514404296875,75.59075927734375,63.0501594543457,85.47217559814453,66.13382720947266,,,,4.325334043933407
2016-12-12,20161212,555,95.49745178222656,95.20349884033205,79.40911865234375,85.46176147460938,74.83007049560547,,,,4.556016693646458
2016-12-13,20161213,580,137.07176208496094,136.64984130859375,132.97604370117188,87.77737426757812,84.61571502685547,,,,4.91742175107515
2016-12-14,20161214,627,110.9472427368164,147.4743194580078,79.07666778564453,86.36727142333984,85.70135498046875,,,,4.993654055252336
2016-12-15,20161215,669,108.9334716796875,118.4707260131836,98.8162841796875,87.28316497802734,90.49186706542967,,,,4.774665892192877
2016-12-16,20161216,706,107.91650390625,74.84127807617188,140.45628356933594,87.3184814453125,95.75349426269533,,,,4.315369578707584
2016-12-19,20161219,540,85.88137817382812,97.84803771972656,61.21119689941406,87.67203521728516,98.49341583251952,,,,4.583415639678064
2016-12-20,20161220,549,114.6426010131836,120.30496215820312,130.45008850097656,89.74077606201172,95.28925323486328,,,,4.790029870327815
2016-12-21,20161221,594,195.1849670410156,311.33465576171875,111.29308319091795,92.29634857177734,107.32321166992188,,,,5.740868397180359
2016-12-22,20161222,582,125.21733856201172,147.5286102294922,123.05343627929688,93.13487243652344,109.64948272705078,,,,4.994022124628155
2016-12-23,20161223,616,182.83653259277344,246.6056365966797,134.1479034423828,96.70667266845705,120.3523406982422,,,,5.507790447714275
2016-12-26,20161226,346,95.73894500732422,133.62196350097656,95.53192138671876,98.6736297607422,129.17718505859375,,,,4.895014645053163
2016-12-27,20161227,401,90.86843872070312,82.35340118408203,82.42903900146484,98.03939056396484,125.78087615966795,,,,4.411019757338244
2016-12-28,20161228,494,127.40645599365234,160.43910217285156,122.67020416259766,98.5796356201172,116.09823608398438,,,,5.077914444855601
2016-12-29,20161229,503,98.7843246459961,91.91490936279295,109.52301788330078,97.02478790283205,112.32209014892578,,,,4.520863250836247
2016-12-30,20161230,561,206.6664276123047,247.23635864257807,196.3995513916016,99.90792846679688,115.7263641357422,,,,5.510344796655507
2017-01-03,20170103,516,121.9743881225586,89.5992202758789,138.79283142089844,108.55113983154295,137.56170654296875,,,,4.495346617664882
2017-01-04,20170104,578,108.89063262939452,91.41512298583984,114.37386322021484,109.33985900878906,134.91659545898438,,,,4.515410924136888
2017-01-05,20170105,632,68.13825988769531,62.703250885009766,87.1678466796875,109.3253936767578,130.53858947753906,,,,4.138413294540571
2017-01-06,20170106,693,129.0610809326172,95.30653381347656,135.1416015625,110.18250274658205,119.4521026611328,,,,4.557098368787188
2017-01-09,20170109,576,161.02760314941406,217.86477661132807,114.77099609375,112.2161636352539,99.73495483398438,,,,5.383874579555451
2017-01-10,20170110,598,66.47293090820312,44.17887878417969,82.91148376464844,112.85450744628906,91.8061752319336,,,,3.7882468193127528
2017-01-11,20170111,674,137.6140899658203,166.5884552001953,130.7776336669922,114.2583999633789,95.9095230102539,,,,5.115526430814192
