time,rolling_vol_5,credit_growth_mom,cpi_mom,pmi_vn
2016-12-08,-0.595250798461617,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-09,-0.7054007793123074,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-12,-0.5342228042745928,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-13,-0.5349939999476654,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-14,-0.4304416433413146,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-15,-0.41089037053695054,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-16,-0.48378676200784276,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-19,-0.4787852874027265,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-20,-0.5802764609834156,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-21,-0.8982230972220592,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-22,-0.9392009368839624,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-23,-0.959170491614801,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-26,-0.959170491614801,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-27,-0.9528014954358267,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-28,-0.7148572222844373,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-29,-0.7098370263883451,2.4557583790887123,0.00439852969159118,0.8218040638405253
2016-12-30,-0.6708082704830135,2.4557583790887123,0.00439852969159118,0.8218040638405253
2017-01-03,-0.3593774177756754,-1.5821507579000085,0.004398529691496581,1.5716734738097211
2017-01-04,-0.27663003254368707,-1.5821507579000085,0.004398529691496581,1.5716734738097211
2017-01-05,-0.5411591256457378,-1.5821507579000085,0.004398529691496581,1.5716734738097211
2017-01-06,-0.5540852693086195,-1.5821507579000085,0.004398529691496581,1.5716734738097211
2017-01-09,-0.6101644574798201,-1.5821507579000085,0.004398529691496581,1.5716734738097211
2017-01-10,-0.7951982859747504,-1.5821507579000085,0.004398529691496581,1.5716734738097211
2017-01-11,-0.9176933927932024,-1.5821507579000085,0.004398529691496581,1.5716734738097211
2017-01-12,-0.886670059417561,-1.5821507579000085,0.004398529691496581,1.5716734738097211
2017-01-13,-0.9478045370380505,-1.5821507579000085,0.004398529691496581,1.5716734738097211
2017-01-16,-0.9478045370380505,-1.5821507579000085,0.004398529691496581,1.5716734738097211
2017-01-17,-0.9750920195777893,-1.5821507579000085,0.004398529691496581,1.5716734738097211
2017-01-18,-0.9539148098784264,-1.5821507579000085,0.004398529691496581,1.5716734738097211
