time,rolling_vol_5,credit_growth_mom,cpi_mom,pmi_vn,fnb_ratio,fx_log_ret,vnindex_log_ret,vnindex_close,vnindex_vol20,rolling_vol_5_Z,credit_growth_mom_Z,cpi_mom_Z,pmi_vn_Z,fnb_ratio_Z,fx_log_ret_Z
2017-01-05,-0.5411591256457378,-1.5821507579000085,0.0043985296914965,1.5716734738097211,0.293484001203579,-0.007226117614627,-1.008749715044824e-05,12.948833333333333,0.10374200413061828,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,-0.5540852693086195,-1.5821507579000085,0.0043985296914965,1.5716734738097211,0.1811593241826679,0.0105954687210435,0.0001917634327354616,12.889166666666666,0.10231020941953,-0.6744897501960817,0.0,0.0,0.0,-0.6744897501960817,0.6744897501960817
2017-01-09,-0.6101644574798201,-1.5821507579000085,0.0043985296914965,1.5716734738097211,0.1246878030206209,-0.0099157976556618,0.00386925154427017,12.894499999999999,0.10278010457865704,-0.967421566101701,0.0,0.0,0.0,-0.967421566101701,-0.967421566101701
2017-01-10,-0.7951982859747504,-1.5821507579000085,0.0043985296914965,1.5716734738097211,0.088364285519336,0.0072212255847232,-0.0009501919331722749,12.889333333333333,0.09064820355035612,-1.1503493803760079,0.0,0.0,0.0,-1.1503493803760079,0.31863936396437514
2017-01-11,-0.9176933927932024,-1.5821507579000085,0.0043985296914965,1.5716734738097211,-0.146516887483227,-0.0080368863151001,0.005896513736639502,12.980666666666668,0.08076695114669581,-1.2815515655446004,0.0,0.0,0.0,-1.2815515655446004,-0.5244005127080409
2017-01-12,-0.886670059417561,-1.5821507579000085,0.0043985296914965,1.5716734738097211,0.0056554063116664,0.0092952568914707,0.00139769972067576,13.001666666666667,0.06906094004397746,-0.6744897501960817,0.0,0.0,0.0,-0.6744897501960817,0.6744897501960817
2017-01-13,-0.9478045370380505,-1.5821507579000085,0.0043985296914965,1.5716734738097211,0.0577669974274373,-0.0028335638632103,-0.001265609563683615,12.994166666666667,0.06954941498645892,-1.465233792685523,0.0,0.0,0.0,-0.36610635680056963,0.0
2017-01-16,-0.9478045370380505,-1.5821507579000085,0.0043985296914965,1.5716734738097211,0.3614231661886428,-0.0012619435602955,-0.0088944268933578,13.097457627118644,0.0741787192793434,-1.1503493803760079,0.0,0.0,0.0,1.5341205443525463,0.1573106846101707
2017-01-17,-0.9750920195777892,-1.5821507579000085,0.0043985296914965,1.5716734738097211,0.218659698369918,0.0009466069358386,0.005559272094237898,12.923,0.07218181713675877,-1.5932188180230507,0.0,0.0,0.0,0.5894557978497783,0.28221614706250825
2017-01-18,-0.9539148098784264,-1.5821507579000085,0.0043985296914965,1.5716734738097211,-0.2029012512805145,0.005123146204514,-0.004133748245116687,12.868833333333333,0.07054183790499254,-1.0364333894937898,0.0,0.0,0.0,-1.6448536269514729,0.38532046640756773
2017-01-19,-0.9525553619443328,-1.5821507579000085,0.0043985296914965,1.5716734738097211,0.2141279875417237,-0.0050780920268578,-0.00334283906687887,13.007457627118644,0.07153289084788232,-0.7478585947633022,0.0,0.0,0.0,0.4727891209922672,-0.4727891209922674
2017-01-20,-0.8728602635938288,-1.5821507579000085,0.0043985296914965,1.5716734738097211,0.0717332654846069,-0.0050587280418566,0.0069903847853656186,12.985666666666667,0.06774253309614099,0.31863936396437514,0.0,0.0,0.0,-0.31863936396437514,-0.31863936396437514
2017-01-23,-0.8703399132067432,-1.5821507579000085,0.0043985296914965,1.5716734738097211,0.0126385872462778,0.0007242441019089,2.4077256741125013e-05,13.012,0.06647533141543716,0.3957252958144873,0.0,0.0,0.0,-0.6151411045959735,0.1940281424239262
2017-01-24,-0.7045080678309718,-1.5821507579000085,0.0043985296914965,1.5716734738097211,0.2694670560574836,0.0058201341850654,0.007871286413441524,13.098833333333333,0.07034138319614937,0.6744897501960817,0.0,0.0,0.0,0.9208229763683788,0.6744897501960817
2017-01-25,-0.5430263585997385,-1.5821507579000085,0.0043985296914965,1.5716734738097211,0.3522770491309195,-8.997660614315702e-05,0.007342297900521525,13.209166666666667,0.07296903760790625,1.2815515655446004,0.0,0.0,0.0,1.2815515655446004,0.0
2017-02-02,-0.9457186182452402,-0.1322195663143519,0.0043985296916857,1.8960064408039927,0.0405597664547942,0.0152212649896024,0.008855537179533962,13.345333333333334,0.07653792301049833,-0.40225006532172536,1.8627318674216515,1.8627318674216515,1.8627318674216515,-0.579132162255556,1.8627318674216515
2017-02-03,-0.6274590436065243,-0.1322195663143519,0.0043985296916857,1.8960064408039927,0.0971067020384471,-0.0224678365906429,-0.0026183281926591886,13.277666666666667,0.07780772912867971,0.62890421763219,1.5647264713617985,1.5647264713617985,1.5647264713617985,0.0,-1.88950996033343
2017-02-06,-0.7975609268183271,-0.1322195663143519,0.0043985296916857,1.8960064408039927,-0.0893337541585714,0.0026616757193155,0.002924541993183455,13.311666666666667,0.07773956532360549,0.21042839424792484,1.382994127100638,1.382994127100638,1.382994127100638,-1.0853249080767589,0.3554904178395308
2017-02-07,-0.81524811563093,-0.1322195663143519,0.0043985296916857,1.8960064408039927,-0.1097599198188031,0.0006305454426812,0.004814045033436667,13.344166666666666,0.07432945643841765,0.13231285227617132,1.2521195202652196,1.2521195202652196,1.2521195202652196,-1.11895838106256,0.0
2017-02-08,-0.81867504863053,-0.1322195663143519,0.0043985296916857,1.8960064408039927,0.2893908789237315,-0.0012164081422391,0.004467837245924538,13.3775,0.07447620217235593,0.06270677794321385,1.1503493803760079,1.1503493803760079,1.1503493803760079,0.93458929107348,-0.18911842627279252
2017-02-09,-0.7481346465875515,-0.1322195663143519,0.0043985296916857,1.8960064408039927,0.3953970585330586,0.007365854098152,0.004333279611710479,13.444333333333333,0.07455625274978195,0.49720057068155404,1.0675705238781412,1.0675705238781412,1.0675705238781412,1.9807523966472789,0.967421566101701
2017-02-10,-0.8866864631738285,-0.1322195663143519,0.0043985296916857,1.8960064408039927,0.1068724362568717,-0.0036312325557333,0.0056511600312013546,13.520999999999999,0.07515438813175433,-0.40998332218733696,0.9982011721528863,0.9982011721528863,0.9982011721528863,0.056999674358374317,-0.537519106202773
2017-02-13,-0.9677622293235616,-0.1322195663143519,0.0043985296916857,1.8960064408039927,0.3189717109810854,0.0059108178539863,0.012911082701855113,13.637833333333333,0.08379252828723076,-1.5123895860676801,0.9388143168769032,0.9388143168769032,0.9388143168769032,1.0271542729149996,0.7091025034090241
2017-02-14,-1.055498596986182,-0.1322195663143519,0.0043985296916857,1.8960064408039927,0.187451613707135,0.0035653839355734,-0.002026049790579275,13.565166666666666,0.08453054917800812,-2.0368341317013883,0.887146559018876,0.887146559018876,0.887146559018876,0.2641469768259235,0.37409541019772363
2017-02-15,-1.115957148569393,-0.1322195663143519,0.0043985296916857,1.8960064408039927,-0.0171681690945168,-0.007098719454027,0.005536723596554507,13.657333333333332,0.08436737333254973,-2.053748910631823,0.8416212335729143,0.8416212335729143,0.8416212335729143,-0.915365087842814,-0.915365087842814
2017-02-16,-0.9780658500054236,-0.1322195663143519,0.0043985296916857,1.8960064408039927,0.1807420033624314,-0.0006274650618201,-0.00100047523122613,13.648833333333334,0.0853275627663326,-1.3037826721034866,0.80109452928195,0.80109452928195,0.80109452928195,0.14512094121077412,-0.14512094121077412
2017-02-17,-0.9614709465591884,-0.1322195663143519,0.0043985296916857,1.8960064408039927,0.4125567928328796,0.0079485994986372,0.005589087090396536,13.703,0.08456808412904805,-0.8284646485811346,0.7647096737863871,0.7647096737863871,0.7647096737863871,2.0853555660318293,1.1281436452787637
