time,market_regime,market_regime_label,prob_market_0,prob_market_1,prob_market_2
2017-01-05,2,Sideways,1.7345442317713816e-16,3.550410266946746e-53,1.0
2017-01-06,2,Sideways,0.00023077000856197485,7.443743525667632e-07,0.9997684856170852
2017-01-09,2,Sideways,0.000228465737490185,8.05595412431197e-07,0.999770728667096
2017-01-10,2,Sideways,0.00021763297755915265,8.34759909036758e-07,0.9997815322625305
2017-01-11,2,Sideways,0.00020712388059759276,8.508012044821682e-07,0.9997920253181989
2017-01-12,2,Sideways,0.00023508492722972498,7.445429593738309e-07,0.9997641705298083
2017-01-13,2,Sideways,0.00019008871590512995,8.658966449941284e-07,0.9998090453874506
2017-01-16,2,Sideways,0.0002168941041000348,8.347414360842977e-07,0.9997822711544617
2017-01-17,2,Sideways,0.00017619796910099426,8.710979478111548e-07,0.9998229309329482
2017-01-18,2,Sideways,0.0002238416054188879,8.17459931317405e-07,0.9997753409346463
2017-01-19,2,Sideways,0.0002348997622158686,7.61312136440025e-07,0.9997643389256485
2017-01-20,2,Sideways,0.00017028127275298577,4.665172173147045e-07,0.9998292522100256
2017-01-23,2,Sideways,0.0001605803455050903,4.4407528073986287e-07,0.9998389755792196
2017-01-24,2,Sideways,0.00012815183685141609,3.659151702390497e-07,0.9998714822479752
2017-01-25,2,Sideways,6.538854987465074e-05,2.2061533707401413e-07,0.9999343908347946
2017-02-02,2,Sideways,0.0004170083823655684,2.2503312468012762e-05,0.9995604883051628
2017-02-03,2,Sideways,0.00018780319171393079,2.225968190133036e-05,0.9997899371263872
2017-02-06,2,Sideways,0.00028505521746120506,2.3122838521111903e-05,0.9996918219440146
2017-02-07,2,Sideways,0.0003072435142841635,2.3176254085771476e-05,0.9996695802316314
2017-02-08,2,Sideways,0.00032527436057813746,2.3190762243203716e-05,0.9996515348771831
2017-02-09,2,Sideways,0.00021700973377899026,2.2638501725890603e-05,0.9997603517644976
2017-02-10,2,Sideways,0.0004239781742276072,2.2530778802083356e-05,0.9995534910469769
2017-02-13,2,Sideways,0.0004116204047363586,1.68684569709056e-05,0.9995715111382966
2017-02-14,2,Sideways,0.0002871565319024012,1.3168431049294867e-05,0.9996996750370485
2017-02-15,2,Sideways,0.0002797621695202483,1.3043004790737668e-05,0.9997071948256823
2017-02-16,2,Sideways,0.00044141775015076084,1.823172017461456e-05,0.9995403505296799
2017-02-17,2,Sideways,0.0004753398542810935,2.0934138361809694e-05,0.9995037260073516
2017-02-20,2,Sideways,0.00047541183779587756,2.111320023063322e-05,0.999503474961968
2017-02-21,2,Sideways,0.0003867973520261358,2.3022225337464465e-05,0.9995901804226389
2017-02-22,2,Sideways,0.00026807928161247185,2.3030659525303668e-05,0.9997088900588598
2017-02-23,2,Sideways,0.0003588171875098547,2.3127742798768566e-05,0.9996180550696953
2017-02-24,2,Sideways,0.00044784031882936153,2.2155509387401767e-05,0.9995300041717871
2017-02-27,2,Sideways,0.0004141549567620094,2.2782401760631318e-05,0.9995630626414638
2017-02-28,2,Sideways,0.0003697158469969403,1.553360507761141e-05,0.9996147505479123
2017-03-01,2,Sideways,1.6715127537157635e-05,1.8028050024318686e-05,0.9999652568224296
2017-03-02,2,Sideways,1.5767224260020588e-05,1.791870260467483e-05,0.9999663140731353
2017-03-03,2,Sideways,1.535666476736836e-05,1.7813239210414152e-05,0.9999668300960166
2017-03-06,2,Sideways,1.496813410587838e-05,1.7711069226295934e-05,0.9999673207966747
2017-03-07,2,Sideways,1.4599273626387363e-05,1.7612002582847768e-05,0.9999677887237923
2017-03-08,2,Sideways,0.0006536286251520954,2.4857066157782282e-05,0.9993215143086829
2017-03-09,2,Sideways,0.0006370073031744987,2.3112045106133335e-05,0.9993398806517249
2017-03-10,2,Sideways,0.0005967280770862168,3.20299593799513e-05,0.9993712419635264
2017-03-13,2,Sideways,0.0007448134793142018,2.8358780135980415e-05,0.9992268277405503
2017-03-14,2,Sideways,0.0007081426764363612,3.092561939965148e-05,0.9992609317041657
2017-03-15,2,Sideways,0.0002625879413098648,3.047121553275375e-05,0.9997069408431611
2017-03-16,2,Sideways,0.0002472578919743389,3.0372726919179096e-05,0.9997223693811157
2017-03-17,2,Sideways,0.00026435102932419137,3.064479336141991e-05,0.9997050041773087
2017-03-20,2,Sideways,0.00023716492034282514,3.0200913337034277e-05,0.9997326341663105
2017-03-21,2,Sideways,7.868673234823456e-05,2.5052103368404338e-05,0.9998962611642734
2017-03-22,2,Sideways,0.00013972581717847213,2.786911804865166e-05,0.9998324050647691
2017-03-23,2,Sideways,0.00013777736374015272,2.7784901588462352e-05,0.9998344377346838
2017-03-24,2,Sideways,0.00013514448992998714,2.7693671547909184e-05,0.9998371618385348
2017-03-27,2,Sideways,0.00013260241176141923,2.7603992688247836e-05,0.9998397935955522
2017-03-28,2,Sideways,0.0004558943411009238,3.2179836550967426e-05,0.9995119258223433
2017-03-29,2,Sideways,0.0004793235582203253,3.221902618937313e-05,0.9994884574155987
2017-03-30,2,Sideways,0.0005251054850797818,3.223446798854428e-05,0.999442660046945
2017-03-31,2,Sideways,0.00041227509509916274,3.1988009664517836e-05,0.9995557368952264
2017-04-03,1,Bear,0.006224163940478901,0.9937758360595184,0.0
2017-04-04,1,Bear,5.171607183876577e-05,0.9999482839281723,0.0
2017-04-05,1,Bear,3.281368498311657e-05,0.9999671863150067,0.0
2017-04-07,1,Bear,1.9706280462977377e-05,0.9999802937195397,0.0
2017-04-10,1,Bear,1.9489973602655652e-05,0.9999805100263938,0.0
2017-04-11,1,Bear,2.3275167834164006e-05,0.9999767248321638,0.0
2017-04-12,1,Bear,3.5832657060021604e-05,0.9999641673429535,0.0
2017-04-13,1,Bear,4.836283762654792e-05,0.9999516371623774,0.0
2017-04-14,1,Bear,4.843903980603029e-05,0.999951560960187,0.0
2017-04-17,1,Bear,1.8543635042414184e-05,0.9999814563649476,0.0
2017-04-18,1,Bear,1.8272970242482494e-05,0.9999817270297663,0.0
2017-04-19,1,Bear,1.8083990263639172e-05,0.9999819160097233,0.0
2017-04-20,1,Bear,1.588070054601914e-05,0.9999841192994477,0.0
2017-04-21,1,Bear,2.308210865716434e-05,0.9999769178913305,0.0
2017-04-24,1,Bear,1.7556537263676757e-05,0.9999824434627425,0.0
2017-04-25,1,Bear,2.0983211777549475e-05,0.9999790167882129,0.0
2017-04-26,1,Bear,2.8375171426663783e-05,0.9999716248285785,0.0
2017-04-27,1,Bear,3.0743989337732926e-05,0.9999692560106539,0.0
2017-04-28,1,Bear,3.504649486222939e-05,0.999964953505134,0.0
2017-05-03,1,Bear,4.259036303918111e-06,0.9999957409637009,0.0
2017-05-04,1,Bear,5.400100385873166e-06,0.9999945998996227,0.0
2017-05-05,1,Bear,1.3137947681749611e-05,0.9999868620523256,0.0
2017-05-08,1,Bear,1.5277100142565193e-05,0.9999847228998499,0.0
2017-05-09,1,Bear,1.636321609105691e-05,0.9999836367839079,0.0
2017-05-10,1,Bear,1.1038594588112826e-05,0.9999889614054107,0.0
2017-05-11,1,Bear,1.799688795651957e-05,0.9999820031120511,0.0
2017-05-12,1,Bear,6.1532924773966864e-06,0.9999938467075281,0.0
2017-05-15,1,Bear,2.0810469725579843e-05,0.999979189530275,0.0
2017-05-16,1,Bear,2.0853896521010985e-05,0.9999791461034614,0.0
2017-05-17,1,Bear,9.22318184658132e-07,0.9999990776817914,0.0
2017-05-18,1,Bear,9.114604628984235e-07,0.9999990885395565,0.0
2017-05-19,1,Bear,9.033584407138843e-07,0.9999990966415554,0.0
2017-05-22,1,Bear,8.954168542628544e-07,0.9999991045831423,0.0
2017-05-23,1,Bear,8.876304961181977e-07,0.99999911236949,0.0
2017-05-24,1,Bear,1.5994790488698357e-05,0.9999840052095327,0.0
2017-05-25,1,Bear,1.6433178614219593e-05,0.9999835668213795,0.0
2017-05-26,1,Bear,1.4815575799090678e-05,0.9999851844241774,0.0
2017-05-29,1,Bear,1.5025050712848708e-05,0.9999849749492998,0.0
2017-05-30,1,Bear,1.7811579488214378e-05,0.9999821884204957,0.0
2017-05-31,1,Bear,1.8937788929191085e-05,0.9999810622110584,0.0
2017-06-01,2,Sideways,0.00313723070577242,0.0012477165411014421,0.995615052753127
2017-06-02,2,Sideways,0.000229555544924243,5.556654361178158e-07,0.9997698887896646
2017-06-05,2,Sideways,0.00016678931332851171,4.564783142015463e-07,0.9998327542083596
2017-06-06,2,Sideways,0.00016176907380344556,4.4599518034284107e-07,0.9998377849310054
2017-06-07,2,Sideways,0.00016363395164884287,4.509231639060488e-07,0.9998359151252069
2017-06-08,2,Sideways,0.00023345183058943897,7.282846561427066e-07,0.999765819884768
2017-06-09,2,Sideways,0.0001624573629048739,8.675495664654301e-07,0.9998366750875545
2017-06-12,2,Sideways,0.00016092493090742534,8.674696949710561e-07,0.9998382075994094
2017-06-13,2,Sideways,0.0002327379192334411,7.615494382942795e-07,0.9997665005313517
2017-06-14,2,Sideways,0.00023501232502687693,7.425325307269454e-07,0.999764245142433
2017-06-15,2,Sideways,0.00022703920372656126,6.560124765342306e-07,0.9997723047837701
2017-06-16,2,Sideways,0.00023046768295268297,6.785775241590725e-07,0.9997688537395284
2017-06-19,2,Sideways,0.0001476333923172598,4.0898605089232817e-07,0.9998519576216156
2017-06-20,2,Sideways,0.00011339131051307865,3.309129013828388e-07,0.999886277776582
2017-06-21,2,Sideways,0.00011573381417972997,3.371255117766627e-07,0.9998839290602864
2017-06-22,2,Sideways,0.00012166544883889504,3.508475180192969e-07,0.9998779837036227
2017-06-23,2,Sideways,0.0001209674340426716,3.490748738899325e-07,0.9998786834910726
2017-06-26,2,Sideways,0.0001986111786514001,5.513098363113718e-07,0.9998008375115144
2017-06-27,2,Sideways,0.0001743171976382548,4.773231206632165e-07,0.9998252054792515
2017-06-28,2,Sideways,7.68120340853474e-05,2.46154686174716e-07,0.9999229418112106
2017-06-29,2,Sideways,5.951133632843455e-05,2.0640656087344576e-07,0.9999402822571115
2017-06-30,2,Sideways,6.31937515632659e-05,2.1556409906809735e-07,0.9999365906843599
2017-07-03,1,Bear,1.8562951861888985e-52,1.0,0.0
