year_month,time,rolling_vol_5,credit_growth_mom,cpi_mom,pmi_vn,fnb_ratio,fx_log_ret,vnindex_log_ret,vnindex_close,vnindex_vol20,rolling_vol_5_Z,credit_growth_mom_Z,cpi_mom_Z,pmi_vn_Z,fnb_ratio_Z,fx_log_ret_Z,Y_proxy,Macro_Prob_0,Macro_Prob_1
2017-01,2017-01-25,-0.5430263585997385,-1.5821507579000085,0.0043985296914965,1.5716734738097211,0.3522770491309195,-8.997660614315702e-05,0.0073422979005215,13.209166666666668,0.0729690376079062,1.2815515655446004,0.0,0.0,0.0,1.2815515655446004,0.0,0,0.9999999936801478,6.319852241499083e-09
2017-02,2017-02-28,-1.1020018213438396,-0.1322195663143519,0.0043985296916857,1.8960064408039927,0.09567736108032,-0.0007466456195956,-0.010799373764509,13.5125,0.0934129755173001,-1.7047809048894011,0.5845898570594735,0.5845898570594735,0.5845898570594735,-0.1853670172895967,-0.1853670172895967,2,0.9948951806542194,0.005104819345780753
2017-03,2017-03-31,-0.784195003022754,0.1378565574329644,0.0043985296915911,1.3834395174160052,-0.1176058409078389,-0.0039591679644254,0.0005373713394231,14.275,0.0780694080899457,0.3128613997601118,0.8353711435721113,-0.0880655697240945,-0.8353711435721113,-1.11895838106256,-0.7745654303366722,0,0.009501758974727452,0.9904982410252722
2017-04,2017-04-28,-0.5400739591813499,-0.8515194179705428,0.0043985296915911,1.491258596050508,-0.2986024171322031,0.0021389429303644,-8.179293219320825e-05,14.135166666666668,0.1149503689889545,0.6539284638491971,-0.4610860885253348,-0.0660118123758407,-0.1824072228344741,-1.4583763270590426,0.4610860885253349,2,0.009864728142560187,0.9901352718574403
2017-05,2017-05-31,-1.002567759699628,1.1672980455548605,0.0043985296915911,0.4865052151319036,-0.0974481324756913,0.0006278871803359,0.0022533478063689,14.7895,0.1198720255025191,-0.7324113622418431,1.2359023985485402,-0.0517060875110765,-1.2359023985485396,-0.454478398648914,0.1556756903741634,0,2.5640997512535875e-06,0.9999974359002489
2017-06,2017-06-30,-0.2326934998675298,1.0656556175224812,0.0043985296915911,1.5969585076310755,0.0621824654788803,0.0008957363551252,0.0025119433554913,15.529333333333334,0.0710474338201206,1.3009449138865516,0.6161202984793464,-0.0421406754664623,0.6678933373149523,0.4578519310124951,0.2555228108212007,0,0.20928866505159507,0.7907113349484057
2017-07,2017-07-31,-1.093937661731886,-0.2025797287672125,0.0043985296916857,0.0881608666513549,-0.0220404816659824,-0.0056644639859925,0.0054902066872343,15.245166666666668,0.1514512004498501,-1.4919422487276346,-0.4736993937656505,1.0675705238781412,-1.4395314709384563,0.0268599608844501,-0.9626677504946358,0,6.6174997530786496e-06,0.9999933825002468
2017-08,2017-08-31,-0.9970927754813552,-1.2849210558207274,0.0043985296915911,0.5943788146981523,0.2127260919464517,-0.0094660467511026,0.0048545187046863,15.113499999999998,0.121881691012467,-0.7185915229021644,-0.9839229995102026,-0.1934254738572182,-0.4448312379912316,1.035118664752163,-1.6243811923533698,0,0.0034319025347571987,0.996568097465246
2017-09,2017-09-29,-0.9555437687787852,-0.2243956565695946,0.0043985296915911,0.1297762633029011,0.191516952997945,0.0064586759337116,0.0016740721748478,15.453,0.070069676530375,-0.3934473937852664,-0.3421467759919597,-0.1720630285825831,-0.9565433099099088,0.8833463275086926,1.1339140545265345,0,4.3850788161238526e-05,0.9999561492118362
2017-10,2017-10-31,-0.593724789399606,1.0706266645643057,0.0043985296914965,0.4778281223637871,0.3320157158672134,4.4741728380378186e-05,-0.0063524481213588,15.307,0.1077343221320982,0.4965418120660503,1.010626720405697,-1.3392545943845358,-0.6630210490869014,1.4703631923390124,0.0734306671120416,2,0.009284158494373524,0.9907158415056262
